Nom 1|Nom 2|Nom latin|Nom anglais|Ordre:famille|Taille|Catégorie|Catégorie2|Bec forme|Bec couleur|bec couleur 2|Pattes|pattes couleur 2|Signe distinctif|Couleur dominante|Tache de couleur|Commentaires|Habitat et comportement Répartition géographique|Habitat1|Habitat2|Scientifique2|FIN
Labbe parasite||Stercorarius parasiticus|Parasitic Jaeger|CHARADRIIFORMES: Stercorariidae|46|Labbes||mouette|noir||noir|||brun||En phase claire, calotte noire, collier blanc, corps et ailes gris-brun, dessous pâle avec une bande pectorale noire peu prononcée. Entièrement brun en phase sombre. Longue queue au printemps. Bec et pattes noirs.||Littoral|||FIN
Labbe pomarin||Stercorarius pomarinus|Pomarine Jaeger|CHARADRIIFORMES: Stercorariidae|51|Labbes||mouette|||noir|||brun||Certains adultes entièrement gris-brun. D'autres avec le ventre et un collier blanc. Bec et pattes noirs.||Toundra|Littoral||FIN
Lagopède alpin||Lagopus muta|Rock Ptarmigan|GALLIFORMES: Phasianidae|35|Gallinacés||épais et court|noir||blanc|||||Mâle: en hiver, blanc avec le bout de la queue noir et un trait noir entre le bec et l'oeil. En été le ventre reste blanc et le reste du plumage devient brun avec une crête rouge au-dessus de l'oeil. La femelle a la même transformation, mais sans la crête au-dessus de l'oeil.||Montagnes et roches|||FIN
Lagopède des saules||Lagopus lagopus|Willow Ptarmigan|GALLIFORMES: Phasianidae|40|Gallinacés||épais et court|noir||blanc|||||Adulte mâle : blanc avec le bout de la queue noir l'hiver, brun-roux et une crête rouge au dessus de l'oeil l'été. Femelle : identique au mâle l'hiver, plumage brun à la belle saison.||Toundra|Forêts et landes||FIN
Linotte à bec jaune||Carduelis flavirostris|Twite|PASSERIFORMES: Fringillidae|14|Passereaux||épais et court|||noir|||brun||Dos brun sombre, dessous pâle avec quelques rayures au niveau de la gorge et sur le front. Bec jaune en plumage internuptial et noir en plumage nuptial.||Champs et bocages|||FIN
Linotte mélodieuse||Carduelis cannabina|Eurasian Linnet|PASSERIFORMES: Fringillidae|13|Passereaux||épais et court|noir|||||brun|rouge/orange|Dos brun roux, bout des ailes noir, tête brun-gris avec une tache rouge sur le front. Deux grandes taches rougeâtres sur la poitrine, ventre blanchâtre.||Champs et bocages|||FIN
Locustelle fluviatile||Locustella fluviatilis|River Warbler|PASSERIFORMES: Locustellidae|13|Passereaux||fin et court||||||brun||Dessus brun-gris, dessous blanc, taches brun-olivâtre sur le menton et la poitrine.||Bords de rivières, zones humides|||FIN
Locustelle luscinioïde||Locustella luscinioides|Savi's Warbler|PASSERIFORMES: Locustellidae|14|Passereaux||fin et court||||||brun||Dessus brun-gris, dessous blanc. Léger sourcil blanc. Bec fin et grisâtre. Pattes rosées.||Bords de rivières, zones humides|||FIN
Locustelle tachetée||Locustella naevia|Common Grasshopper-Warbler|PASSERIFORMES: Locustellidae|13|Passereaux||fin et court||||||brun||Dos brun avec un motif d'écailles, dessous pâle. Bec fin, jaune dessous et noirâtre dessus.||Forêts et landes|Bords de rivières, zones humides||FIN
Loriot d'Europe||Oriolus oriolus|Eurasian Golden Oriole|PASSERIFORMES: Oriolidae|24|Passereaux||autres becs droits|rouge/orange||noir|||jaune|noir|Mâle à dominante jaune, avec les ailes et une partie de la queue noires. Tache noire près de l'oeil. Femelle au dos brun, tête et dessous verdâtres. Puissant bec rosâtre.||Forêts et landes|||FIN
Lusciniole à moustaches||Acrocephalus melanopogon|Moustached Warbler|PASSERIFORMES: Acrocephalidae|13|Passereaux||fin et court||||||brun||Dos brun, ventre blanc. Sourcil blanc, souligné d'un trait noir sur l'oeil. Dessus de la tête noir. Bec fin noirâtre.||Bords de rivières, zones humides|||FIN
Macareux moine||Fratercula arctica|Atlantic Puffin|CHARADRIIFORMES: Alcidae|30|Pingouins, guillemots, macareux||autre|noir|rouge/orange|rouge/orange|||noir|blanc|Joues et ventre blancs. Calotte, collier, dos et ailes noirs. Bec épais aux couleurs vives à dominante orange. Le bec devient plus terne en hiver. Pattes orange.||Littoral|||FIN
Macreuse brune||Melanitta fusca|White-winged Scoter|ANSERIFORMES: Anatidae|56|Cygnes, oies, canards||canard|jaune|||||noir|blanc|Entièrement noire à l'exception quelques taches blanches sous l'oeil et au bout des ailes. La femelle a la tête partiellement rousse. Bec noir.||Bords de rivières, zones humides|Littoral||FIN
Macreuse noire||Melanitta nigra|Common Scoter|ANSERIFORMES: Anatidae|48|Cygnes, oies, canards||canard|noir|jaune||||noir||Le mâle est entièrement noir, à l'exception de la partie jaune du bec. La femelle est brune avec une tache blanche sur la joue.||Bords de rivières, zones humides|Littoral||FIN
Marmaronette marbrée|Sarcelle marbrée|Marmaronetta angustirostris|Marbled Teal|ANSERIFORMES: Anatidae|41|Cygnes, oies, canards||canard|noir||||moucheté|brun||Dos brun. Gorge et flancs blanchâtres, le tout marbré de taches blanches et noires. Joues blanches, dessus de la tête brun, bec noir.||Bords de rivières, zones humides|||FIN
Marouette de Baillon||Porzana pusilla|Baillon's Crake|GRUIFORMES: Rallidae|18|Râles, marouettes, poules d'eau||autres becs droits||||||brun||Dos brun avec quelques tâches grises. Sourcils et joues gris. Dessus de la tête brun. Gorge et ventre gris. Flancs et croupions rayés noirs et gris. Pattes verdâtres. Bec noirâtre.||Bords de rivières, zones humides|||FIN
Marouette ponctuée||Porzana porzana|Spotted Crake|GRUIFORMES: Rallidae|23|Râles, marouettes, poules d'eau||autres becs droits|jaune|||||brun||Corps brun entièrement moucheté de blanc sur le dessous et de blanc et noir sur le dessus. Bec jaune et pattes verdâtres.||Bords de rivières, zones humides|||FIN
Marouette poussin||Porzana parva|Little Crake|GRUIFORMES: Rallidae|19|Râles, marouettes, poules d'eau||autres becs droits||||||brun||Dos brun, face et ventre gris, bec et pattes verdâtres. Bas du ventre et croupion légèrement moucheté. Pas ou peu de taches gris-blanc sur le dos, pas de rayures grises sur le bas du ventre (contrairement à la marouette de Baillon).||Bords de rivières, zones humides|||FIN
Martin-pêcheur d'Europe||Alcedo atthis|Common Kingfisher|CORACIIFORMES: Alcedinidae|16|Autres||droit et long|noir||rouge/orange|||bleu|rouge/orange|Dos bleu, avec des plumes azurées au centre. Tête bleue. Ventre roux. Marques rousses et blanches au niveau de la joue et du cou. Long bec puissant de couleur noirâtre, légèrement orangé sur la mandibule inférieure. Pattes orangées.||Bords de rivières, zones humides|||FIN
Martinet à ventre blanc||Tachymarptis melba|Alpine Swift|APODIFORMES: Apodidae|21|Martinets et hirondelles||fin et court|noir|||||brun||Dos brun-noir, tête noirâtre, ventre blanc avec un collier noir. Occupe des zones montagneuses, des falaises.||Montagnes et roches|Littoral||FIN
Martinet cafre||Apus caffer|White-rumped Swift|APODIFORMES: Apodidae|14|Martinets et hirondelles||fin et court|noir||||queue bifide|noir||Entièrement noirâtre, sauf gorge blanche et tache blanche au croupion. (Sud de l'Espagne).||Villes, villages, jardins|Champs et bocages||FIN
Martinet noir||Apus apus|Common Swift|APODIFORMES: Apodidae|16|Martinets et hirondelles||fin et court|noir||||queue bifide|noir||Entièrement noir (avec un dessous parfois plus pâle). Tache blanche sous le bec. Queue bifide. Passe tout son temps en vol. Très fréquent en zone urbaine au printemps et en été.||Villes, villages, jardins|||FIN
Martinet pâle||Apus pallidus|Pallid Swift|APODIFORMES: Apodidae|16|Martinets et hirondelles||fin et court|noir||||queue bifide|gris||Entièrement brun-gris. Ventre à écailles. Tache blanche au bec. Queue légèrement bifide.||Villes, villages, jardins|||FIN
Martinet unicolore||Apus unicolor|Plain Swift|APODIFORMES: Apodidae|14|Martinets et hirondelles||fin et court|noir||||queue bifide|noir||Entièrement noir, avec une tache blanche sous le bec presque invisible.|Uniquement aux îles Canaries.|Villes, villages, jardins|||FIN
Mergule nain||Alle alle|Little Auk|CHARADRIIFORMES: Alcidae|20|Pingouins, guillemots, macareux||épais et court|noir||noir|||noir||Tête, cou et dos noirs, ventre blanc. Bec noir légèrement crochu. Le plus petit des alcidés. Vit dans les zones arctiques (nord de la Scandinavie, Groenland), mais peut hiverner sur les côtes atlantiques françaises.||Littoral|||FIN
Merle à plastron||Turdus torquatus|Ring Ouzel|PASSERIFORMES: Turdidae|23|Passereaux||fin et court|jaune|||||noir|blanc|Brun très sombre, avec une bande pectorale blanche. Les plumes des ailes et du ventre présentent un liseré plus clair, formant un motif d'écailles. Bec jaunâtre et pattes noires.||Forêts et landes|||FIN
Merle noir||Turdus merula|Eurasian Blackbird|PASSERIFORMES: Turdidae|24|Passereaux||fin et court|jaune|||||noir||Mâle adulte noir, avec le bec jaune orangé, et le tour de l'oeil jaune. La femelle est brune, son bec est souvent noirâtre à la base. Chez le jeune, le corps et le bec sont plutôt bruns.||Villes, villages, jardins|Forêts et landes||FIN
Mésange à longue queue||Aegithalos caudatus|Long-tailed Tit|PASSERIFORMES: Aegithalidae|14|Passereaux||fin et court|noir||noir||queue longue|brun||Dos brun et noir. Ventre d'un brun très pâle. Tête noire avec une raie blanche au milieu. Joues blanches. Longue queue noire bordée de blanc. Quelques plumes blanches sur les ailes noires. Petit bec noir.||Villes, villages, jardins|Forêts et landes||FIN
Mésange bleue||Cyanistes caeruleus|Blue Tit|PASSERIFORMES: Paridae|12|Passereaux||fin et court|noir||noir|||bleu||Calotte, nuque, queue et bout des ailes bleus. Dos verdâtre. Ventre jaune. Fine barre noire sur le ventre et l'oeil. Joues blanches. Petit bec et pattes noirâtres.||Villes, villages, jardins|Forêts et landes|Parus caeruleus|FIN
Mésange boréale||Poecile montanus|Willow Tit|PASSERIFORMES: Paridae|12|Passereaux||fin et court|noir||noir|||brun|noir|Dos brun, ventre pâle, calotte noire, bavette noire plus ou moins étendue, joues blanches. Petit bec noir. Ressemble beaucoup à la mésange nonnette.||Forêts et landes||Parus montanus|FIN
Mésange charbonnière||Parus major|Great Tit|PASSERIFORMES: Paridae|14|Passereaux||fin et court|noir||noir|||jaune|noir|Dos verdâtre, bout des ailes bleuté, queue noire. Joues blanches. Calotte, collier et gorge noirs. Ventre jaune divisé par une large bande noire. Petit bec noir.||Villes, villages, jardins|Forêts et landes||FIN
Mésange huppée||Lophophanes cristatus|Crested Tit|PASSERIFORMES: Paridae|12|Passereaux||fin et court|noir||noir||huppe|brun|noir|Dos brun-gris, ventre pâle. Petite bavette noire. Tête et huppe grises. Collier blanc et noir. Petit bec noir.||Forêts et landes||Parus cristatus|FIN
Mésange lapone||Poecile cinctus|Grey-headed Chickadee or Siberian Tit|PASSERIFORMES: Paridae|13|Passereaux||fin et court|noir||noir|||brun|blanc|Dos brun, ventre pâle aux flancs roux. Calotte et bavette noires, bout des ailes noir. Joues blanches. Petit bec noir.|Uniquement en Scandinavie.|Forêts et landes||Parus cinctus|FIN
Mésange lugubre||Poecile lugubris|Sombre Tit|PASSERIFORMES: Paridae|13|Passereaux||fin et court|noir||noir|||gris|blanc|Calotte et gorge noires, joues blanches, dos gris, dessous blanchâtre. La calotte de la femelle est moins sombre et contrastée. Petit bec noir.|Europe du Sud-Est (Balkans, Roumanie)|Forêts et landes||Parus lugubris|FIN
Mésange noire||Periparus ater|Coal Tit|PASSERIFORMES: Paridae|11|Passereaux||fin et court|noir||noir|||gris||Tête noire avec des joues blanches et une tache blanche sur la nuque. Le dos et les ailes sont gris foncé, avec des deux barres blanches sur le bord des ailes. Dessous pâle. Petit bec noir.||Forêts et landes||Parus ater|FIN
Mésange nonnette||Poecile palustris|Marsh Tit|PASSERIFORMES: Paridae|12|Passereaux||fin et court|noir||noir|||brun|noir|Dos brun, ventre pâle, calotte noire, petite bavette noire, joues blanches. Ressemble beaucoup à la mésange boréale, mais la bavette est moins étendue. La queue est également moins étagée. Petit bec noir.||Villes, villages, jardins|Forêts et landes|Parus palustris|FIN
Mésangeai imitateur||Perisoreus infaustus|Siberian Jay|PASSERIFORMES: Corvidae|30|Corvidés||fin et court|noir||noir|||brun||Dos gris-brun, bout des ailes grises, tête brun sombre, cou et gorge d'un brun plus terne, ventre roussâtre. Quelques plumes d'un roux plus éclatant sur l'aile et la queue. Petit bec noir. Scandinavie.|Scandinavie|Forêts et landes|||FIN
Milan noir||Milvus migrans|Black Kite|ACCIPITRIFORMES: Accipitridae|56|Rapaces||crochu|noir|jaune|jaune|||brun||Corps brun sombre, avec le bout des ailes noires. Tête d'un brun grisâtre, avec un bec jaune et noir. Vus du dessous, le bord des ailes et la queue sont grisâtres légèrement rayés. La queue est un peu incurvée.||Champs et bocages|Bords de rivières, zones humides||FIN
Milan royal||Milvus milvus|Red Kite|ACCIPITRIFORMES: Accipitridae|61|Rapaces||crochu|noir|jaune|jaune|||brun||Corps brun roux, tête grisâtre, bec jaune et noir. Vues de dessous, les ailes sont brunes près du corps, blanches au centre et noires sur les extrémités. Le dessous de la queue est plus aussi blanchâtre, finement rayé de noir. La queue est échancrée.||Champs et bocages|||FIN
Moineau domestique||Passer domesticus|House Sparrow|PASSERIFORMES: Passeridae|14|Passereaux||épais et court|noir|||||brun||Chez le mâle, dos brun roussâtre, joues, calotte et ventre gris, bandes rousses sur l'arrière de la tête. Tache noire près de l'œil, bavette noire qui s'efface en plumage internuptial dont la femelle est dépourvue. Bec épais.||Villes, villages, jardins|||FIN
Moineau espagnol||Passer hispaniolensis|Spanish Sparrow|PASSERIFORMES: Passeridae|15|Passereaux||épais et court|noir|||||brun||Chez le mâle, dos brun avec des taches noires, calotte rousse, joues blanches, bavette noire, tache noire près de l'oeil. La bavette noire s'efface en plumage internuptial, et la femelle en est dépourvue. Taches noires sur la poitrine pâle. Bec épais.|Sud de l'Europe|Champs et bocages|||FIN
Moineau friquet||Passer montanus|Eurasian Tree Sparrow|PASSERIFORMES: Passeridae|14|Passereaux||épais et court|noir|||||brun||Ventre blanc, dos brun, calotte brune (et non rousse), tâche noire près de l'oeil, bavette noire. Point noir dans la joue blanche qui le distingue des autres moineaux. La gorge noire s'efface en plumage internuptial, et la femelle en est dépourvue. Bec épais noir.||Champs et bocages|||FIN
Moineau soulcie||Petronia petronia|Rock Petronia|PASSERIFORMES: Passeridae|14|Passereaux||épais et court||||||brun|jaune|Dos brun pâle. Sourcil blanc et collier blanc peu marqué. Petite tache jaune au niveau de la gorge. Ventre rayé. Bec épais.||Milieu méditerranéen|Villes, villages, jardins||FIN
Monticole bleu|Merle bleu|Monticola solitarius|Blue Rock-Thrush|PASSERIFORMES: Muscicapidae|21|Passereaux||fin et court|noir||noir|||bleu||Entièrement bleu sombre, avec les ailes et la queue noirâtres. La femelle est brune. Bec noir. Pattes noires.||Montagnes et roches|Milieu méditerranéen||FIN
Monticole de roche|Merle de roche|Monticola saxatilis|Rufous-tailed Rock-Thrush|PASSERIFORMES: Muscicapidae|17|Passereaux||fin et court|noir||||||bleu|Dos noir. Ventre et gorge roux. Tête et cou bleu sombre. Bord de la queue orange. La femelle est brune. Bec fin noir.||Montagnes et roches|||FIN
Mouette de Sabine||Xema sabini|Sabine's Gull|CHARADRIIFORMES: Laridae|33|Mouettes, goéland, fulmars||mouette|noir|jaune||||gris|noir|Ventre blanc. Dos gris. En plumage nuptial, capuchon gris bordée d'un bandeau noir, dont il reste des vestiges tout au long de l'année. Bout des ailes noir. Bec noir à bout jaune. Rare à observer.||Littoral|Bords de rivières, zones humides||FIN
Mouette mélanocéphale||Ichthyaetus melanocephalus|Mediterranean Gull|CHARADRIIFORMES: Laridae|39|Mouettes, goéland, fulmars||mouette|rouge/orange||rouge/orange|||blanc|noir|En été, tête noire, avec un capuchon plus étendu que celui de la mouette rieuse. Et contrairement à cette dernière, le bout de l'aile blanc. En hiver, la tache noire se réduit à un point noir et quelques marques grises. Bec et pattes orange.||Littoral||Larus melanocephalus|FIN
Mouette pygmée||Hydrocoloeus minutus|Little Gull|CHARADRIIFORMES: Laridae|28|Mouettes, goéland, fulmars||mouette|rouge/orange||rouge/orange|||gris|noir|Ailes gris clair sur le dessus, plus sombres en dessous. Capuchon noire, similaire à celui de la mouette rieuse, réduite à des taches grises l'hiver. C'est la plus petite des mouettes. Scandinavie en été. Peut hiverner en Méditerranée.||Littoral|Bords de rivières, zones humides|Larus minutus|FIN
Mouette rieuse||Chroicocephalus ridibundus|Black-headed Gull|CHARADRIIFORMES: Laridae|36|Mouettes, goéland, fulmars||mouette|rouge/orange|noir||||blanc|noir|En été, tête d'un brun très foncé. Le capuchon est plus réduit que pour la mouette mélanocéphale. Frange noire sur le bout de l'aile. En hiver, tête blanche à l'exception d'un point noir à côté de l'oeil. Bec rouge sombre.||Littoral|Bords de rivières, zones humides|Larus ridibundus|FIN
Mouette tridactyle||Rissa tridactyla|Black-legged Kittiwake|CHARADRIIFORMES: Laridae|41|Mouettes, goéland, fulmars||mouette|jaune||noir|||gris|noir|Tête et ventre blancs. Dos gris. Bout des ailes entièrement noir. Bec jaune.||Littoral|||FIN
Nette rousse||Netta rufina|Red-crested Pochard|ANSERIFORMES: Anatidae|56|Cygnes, oies, canards||canard|rouge/orange|||||brun|rouge/orange|Chez le mâle, dos brun, gorge, nuque et croupion noirs, tête rousse au plumage ébouriffé, flancs blancs, bec rouge. Femelle brune avec les joues blanches et un bec noirâtre.||Bords de rivières, zones humides|||FIN
Niverolle alpine||Montifringilla nivalis|White-winged Snowfinch|PASSERIFORMES: Passeridae|17|Passereaux||épais et court|||noir|||gris||Dos brun, tête grise. Bout des ailes noir, avec une barre alaire blanche. Bec jaune en période internuptiale, noir le reste du temps.|Vit en haute montagne.|Montagnes et roches|||FIN
Océanite cul-blanc|Pétrel cul-blanc|Oceanodroma leucorhoa|Leach's Storm-Petrel|PROCELLARIIFORMES: Hydrobatidae|20|Mouettes, goéland, fulmars||mouette|noir||noir|||noir|blanc|Entièrement noir, à l'exception du croupion blanc.||Littoral|||FIN
Océanite frégate||Pelagodroma marina|White-faced Storm-Petrel|PROCELLARIIFORMES: Hydrobatidae||Mouettes, goéland, fulmars||mouette|noir||noir|||noir|blanc|Dos brun noirâtre, bout des ailes et de la queue noir, ventre et dessous des ailes blancs. Joues blanches avec une tâche noire autour de l'oeil. Bec et pattes noires.||Littoral|||FIN
Océanite tempête|Pétrel tempête|Hydrobates pelagicus|European Storm-Petrel|PROCELLARIIFORMES: Hydrobatidae|15|Mouettes, goéland, fulmars||mouette|noir||noir|||noir|blanc|Entièrement noir, à l'exception du croupion blanc.||Littoral|||FIN
Oedicnème criard||Burhinus oedicnemus|Eurasian Thick-knee|CHARADRIIFORMES: Burhinidae|41|Limicoles||autres becs droits|jaune|noir|jaune|||brun||Dos brun, bout des ailes noirs, gorge pâle striée de noir. Sourcils et moustache blancs. Grandes pattes jaunes, bec jaune à la base et noir à l'extrémité.||Champs et bocages|||FIN
Oie à bec court||Anser brachyrhynchus|Pink-footed Goose|ANSERIFORMES: Anatidae|70|Cygnes, oies, canards||canard|jaune||rose|||brun||Très semblable à l'oie des moissons (parfois considérée comme une sous-espèce). Dos brun-gris, tête et ventre bruns, croupion blanc, bec noir et rose, pattes roses. Espèce migratrice : passe les étés dans les toundras arctiques.||Toundra|Champs et bocages||FIN
Oie cendrée||Anser anser|Graylag Goose|ANSERIFORMES: Anatidae|80|Cygnes, oies, canards||canard|rouge/orange||rouge/orange|||brun||Corps gris-brun, bec orange, pattes roses, croupion blanc||Bords de rivières, zones humides|||FIN
Oie des moissons||Anser fabalis|Taiga Bean-Goose|ANSERIFORMES: Anatidae|75|Cygnes, oies, canards||canard|rouge/orange||rouge/orange|||brun||Très semblable à l'oie à bec court. Dos brun-gris, tête et ventre bruns, croupion blanc, bec noir et orange, pattes orange.||Bords de rivières, zones humides|Champs et bocages||FIN
Oie naine||Anser erythropus|Lesser White-fronted Goose|ANSERIFORMES: Anatidae|60|Cygnes, oies, canards||canard|jaune||rouge/orange|||brun|blanc|Entièrement brun sombre sauf le croupion blanc et la tache blanche au-dessus du bec rose.||Toundra|Champs et bocages||FIN
Oie rieuse||Anser albifrons|Greater White-fronted Goose|ANSERIFORMES: Anatidae|70|Cygnes, oies, canards||canard|jaune||rouge/orange|||brun|blanc|Tête, cou et dos brun-gris, tache blanche au-dessus du bec rose, barres noires sur le ventre pâle, pattes orangées.||Bords de rivières, zones humides|Toundra||FIN
Ouette d'Égypte|Oie d'Egypte|Alopochen aegyptiaca|Egyptian Goose|ANSERIFORMES: Anatidae|70|Cygnes, oies, canards||canard|jaune||rose|||brun||Tête brun clair avec une tache plus sombre autour de l'oeil. Ventre blanchâtre, avec une tache brune, dos brun. Ailes blanches et noires avec quelques plumes vertes.||Bords de rivières, zones humides|||FIN
Outarde canepetière||Tetrax tetrax|Little Bustard|OTIDIFORMES: Otididae|44|Autres||autres becs droits|||jaune|||brun|noir|Dos brun, ventre blanc, tête grise à calotte brune. Collier noir et blanc complexe.||Champs et bocages|||FIN
Panure à moustaches||Panurus biarmicus|Bearded Reedling|PASSERIFORMES: Panuridae|13|Passereaux||épais et court|jaune||noir||queue longue|brun|noir|Dos brun-roux, ailes rousses bordées de plumes blanchâtres et noires, gorge blanche. Chez le mâle, le dessus de la tête est gris, avec des moustaches noires qui descendent depuis l'oeil. Bec jaune et épais. Pattes noires. Longue queue. La femelle a la tête brune et n'a pas de moustaches.||Bords de rivières, zones humides|||FIN
Pélican blanc||Pelecanus onocrotalus|Great White Pelican|PELECANIFORMES: Pelecanidae|160|Fous, cormorans, pélicans||autre|||rose|||blanc||Entièrement blanc, à l'exception de quelques plumes noires visibles en vol au bord des ailes. Huppe blanche sur la tête. Grande poche jaune sous le bec. Pattes roses à rougeâtres. Europe de l'est.||Bords de rivières, zones humides|||FIN
Pélican frisé||Pelecanus crispus|Dalmatian Pelican|PELECANIFORMES: Pelecanidae|170|Fous, cormorans, pélicans||autre|||gris|||blanc||Plumage d'un blanc grisâtre, huppe sur la tête. La poche sous le bec est rouge orangée. Balkans.||Bords de rivières, zones humides|||FIN
Perdrix bartavelle||Alectoris graeca|Rock Partridge|GALLIFORMES: Phasianidae|33|Gallinacés||épais et court|rouge/orange||rouge/orange|||gris||Dos gris, flancs rayés de brun noir, joues et gorge blanches cernées de noir. Difficile à distinguer de la perdrix choukar. Alpes, Balkans.||Montagnes et roches|||FIN
Perdrix choukar||Alectoris chukar|Chukar|GALLIFORMES: Phasianidae|33|Gallinacés||épais et court|rouge/orange||rouge/orange|||gris||Dos gris, flancs rayés de noir, joues et gorge blanches cernées de noir. Ventre brun. Difficile à distinguer de la perdrix bartavelle. Balkans.||Montagnes et roches|||FIN
Perdrix gambra||Alectoris barbara|Barbary Partridge|GALLIFORMES: Phasianidae|33|Gallinacés||épais et court|rouge/orange||rouge/orange|||brun||Dos gris, flancs barrés de noir et de brun. Calotte brune, joues et gorge grises. Demi collier brun à taches blanches. Bec et pattes rouge, cercle oculaire rouge. Seulement dans le sud de l'Espagne et en Sardaigne.||Forêts et landes|Montagnes et roches||FIN
Perdrix grise||Perdix perdix|Gray Partridge|GALLIFORMES: Phasianidae|30|Gallinacés||épais et court|noir|||||gris|rouge/orange|Dos, tête et gorge gris, face rousse. Tache rouille sur le ventre chez le mâle. Flancs barrés de brun.||Champs et bocages|Forêts et landes||FIN
Perdrix rouge||Alectoris rufa|Red-legged Partridge|GALLIFORMES: Phasianidae|34|Gallinacés||épais et court|rouge/orange||rouge/orange|||brun||Dos et dessus de la tête brun. Sourcil blanc souligné par une bande noire qui descend le long de la gorge mouchetée noir et blanc. Ventre brun et gris, flancs barrés de brun. Bec et pattes rouge, cercle oculaire rouge.||Champs et bocages|Montagnes et roches||FIN
Petit gravelot||Charadrius dubius|Little Ringed Plover|CHARADRIIFORMES: Charadriidae|15|Limicoles||fin et court|noir||jaune|||brun|noir|Dos brun, ventre blanc, calotte brune, masque facial noir et blanc, collier noir et blanc. Bec fin noirâtre. Se distingue du grand gravelot par son cercle oculaire jaune, son bec entièrement noir et l'absence de barre alaire blanche visible en vol.|On le trouve principalement au bord des petits plans d'eau douce, même si on peut le trouver également sur les côtes. Oiseau migrateur. Niche dans toute l'Europe. Migre vers l'Afrique vers fin août-septembre.|Bords de rivières, zones humides|||FIN
Petit Pingouin|Pingouin torda|Alca torda|Razorbill|CHARADRIIFORMES: Alcidae|41|Pingouins, guillemots, macareux||autres becs droits|noir||noir|||noir||Dos et tête noirs, ventre blanc. Barre alaire blanche. Le bec noir est marqué d'une fine ligne blanche. Ligne blanche entre le bec et l'oeil.||Littoral|||FIN
Petit-duc scops||Otus scops|European Scops-Owl|STRIGIFORMES: Strigidae|19|Chouettes, hiboux||crochu||||||gris||Entièrement gris-brun, avec un plumage proche couleur d'écorce. Petites aigrettes pas toujours visibles. Bec noir, et yeux jaunes.||Forêts et landes|Villes, villages, jardins||FIN
Pétrel de Madère||Pterodroma madeira|Zino's Petrel|PROCELLARIIFORMES: Procellariidae|33|Mouettes, goéland, fulmars||mouette|noir||rouge/orange|||gris||Dos et ailes gris, ventre blanc, tache brun grisâtre au niveau de la tête.||Littoral|||FIN
Phalarope à bec étroit||Phalaropus lobatus|Red-necked Phalarope|CHARADRIIFORMES: Scolopacidae|18|Limicoles||autres becs droits|noir|||||brun|rouge/orange|Dos gris, calotte et joues grises. En période nuptiale, marque rouge au niveau du cou. Gorge grise. Ventre blanc. Tache blanche au niveau du menton. Long bec étroit et noir. Petite tache blanche au-dessus de l'oeil. En hiver, la partie rousse devient blanche.||Littoral|Bords de rivières, zones humides||FIN
Phalarope à bec large||Phalaropus fulicarius|Red Phalarope|CHARADRIIFORMES: Scolopacidae|20|Limicoles||autres becs droits|jaune|noir||||rouge/orange|noir|Dos moucheté brun et noir, ventre et gorge roux, calotte brun-noir, joues blanches. En hiver, dos gris, tête et cou blancs, avec une virgule noire au niveau de l'oeil. Bec jaunâtre à bout noir en été et noir en hiver.||Littoral|Toundra||FIN
Phragmite aquatique||Acrocephalus paludicola|Aquatic Warbler|PASSERIFORMES: Acrocephalidae|13|Passereaux||fin et court||||||brun||Dos brun avec quelques plumes plus sombres. Sourcil clair. Dessus de la tête rayé noir et blanchâtre. Ventre blanc. Bec fin.|Europe de l'est.|Bords de rivières, zones humides|||FIN
Phragmite des joncs||Acrocephalus schoenobaenus|Sedge Warbler|PASSERIFORMES: Acrocephalidae|13|Passereaux||fin et court||||||brun||Dos brun, bout des ailes noirâtres, bavette blanche, ventre blanchâtre. Sourcil clair. Calotte striée. Petit bec noirâtre.||Bords de rivières, zones humides|||FIN
Pic à dos blanc||Dendrocopos leucotos|White-backed Woodpecker|PICIFORMES: Picidae|25|Pics||autres becs droits|noir|||||noir|rouge/orange|Calotte rouge pour le mâle, noire pour la femelle, joues blanches soulignées de noir. Dos noir avec une vaste tâche blanche, ailes striées de blanc et de noir. Ventre blanc légèrement rayé. Bas du ventre roux.|En France, uniquement dans les Pyrénées.|Forêts et landes|Montagnes et roches||FIN
Pic cendré||Picus canus|Gray-faced Woodpecker|PICIFORMES: Picidae|26|Pics||autres becs droits|noir|||||vert|rouge/orange|Dos verdâtre, croupion jaune, tête grise, avec une moustache noire et une petite tache noir près de l'oeil. Chez le mâle, tache rouge sur le front, plus petite que celle du pic vert. Ventre grisâtre.||Forêts et landes|Villes, villages, jardins||FIN
Pic épeiche||Dendrocopos major|Great Spotted Woodpecker|PICIFORMES: Picidae|22|Pics||autres becs droits|noir|||||noir|rouge/orange|Dos noir, grande marque blanche sur les ailes, calotte noire avec une tache rouge sur l'arrière de la tête seulement. Tâche brunâtre juste au-dessus du bec. Joues et ventre blancs. Collier noir. Bas du ventre rouge.||Forêts et landes|Villes, villages, jardins||FIN
Pic épeichette||Dendrocopos minor|Lesser Spotted Woodpecker|PICIFORMES: Picidae|15|Pics||autres becs droits|noir|||||noir|rouge/orange|Dos et ailes rayés noir et blanc, calotte rouge et arrière de la tête noir chez le mâle, calotte noire chez la femelle. Joues blanches. Ventre blanc avec quelques fines rayures noires sur la gorge. Tout petit pic.||Forêts et landes|Villes, villages, jardins||FIN
